Gene	K562 CS	K562 adjusted p-value
HTR5A	-0.236	0.581503976
CALCB	-0.236	0.515795959
MT4	-0.236	0.931215411
PTK2B	-0.236	0.818243052
BCAS3	-0.236	0.823841972
MMP15	-0.236	0.99299499
CRCT1	-0.236	0.344698405
USP17L12	-0.236	0.865038872
CECR1	-0.236	0.463255039
UBALD2	-0.236	0.995537729
IRX3	-0.236	0.991595241
CHAT	-0.236	0.974647163
COMMD6	-0.236	0.002038864
HECA	-0.236	0.782476522
ENDOD1	-0.235	0.871216156
NCOA6	-0.235	0.582998024
SHCBP1	-0.235	0.767851864
SLC30A1	-0.235	0.877924383
EXOC1	-0.235	0.75817531
ADAP1	-0.235	0.612304064
KIAA0408	-0.235	0.427990006
CCDC166	-0.235	0.641106676
OVOL1	-0.235	0.948460133
TSPAN33	-0.235	0.834908647
CX3CR1	-0.235	0.497027893
NRG3	-0.235	0.809282327
RBPJL	-0.235	0.8322014
FOXA1	-0.235	0.891421978
NDUFS3	-0.234	0.989235633
MBL2	-0.234	0.980332887
BTN3A1	-0.234	0.91192576
SPPL3	-0.234	0.640946837
CHIA	-0.234	0.361149655
MTMR9	-0.234	0.889048495
AAR2	-0.234	0.853959473
SEMA3E	-0.234	0.878239092
SNX6	-0.234	0.408826389
PER2	-0.234	0.891520154
CHST5	-0.233	0.994967661
TTN	-0.233	0.691515318
NET1	-0.233	0.897578164
EDEM1	-0.233	0.786343429
GPBP1L1	-0.233	0.872499397
TMEM234	-0.233	0.733433444
RBMXL2	-0.233	0.86074972
SMOC2	-0.233	0.52008025
RWDD2B	-0.233	0.479456868
CNNM2	-0.233	0.918151052
MXI1	-0.233	0.47326897
SEC14L6	-0.233	0.658991461
MS4A6E	-0.232	0.54828064
CCDC88C	-0.232	0.621144185
KIDINS220	-0.232	0.929300883
TTLL1	-0.232	0.980332887
KIAA0101	-0.232	0.797754093
ZNF764	-0.232	0.933348737
USH1C	-0.232	0.883825834
TMEM241	-0.232	0.520571032
COL25A1	-0.232	0.96569859
P4HB	-0.232	0.929012665
KLHL21	-0.232	0.865685106
ZKSCAN2	-0.232	0.905443792
LHFPL1	-0.231	0.915469599
EXO1	-0.231	0.664798895
UFSP1	-0.231	0.945042709
GJD3	-0.231	0.938771433
MACROD2	-0.231	0.747974521
LOC147646	-0.231	0.611336658
MON1A	-0.231	0.998023005
PGM5	-0.231	0.94363417
C8A	-0.231	0.793643985
SLC2A8	-0.231	0.986571344
FBXO40	-0.230	0.742497227
TIAM2	-0.230	0.994967661
HORMAD2	-0.230	0.896578619
MOGAT2	-0.230	0.262438222
C1RL	-0.230	0.920666052
CARD8	-0.230	0.772739692
DEPDC4	-0.229	0.746996983
LONRF1	-0.229	0.978207645
THSD4	-0.229	0.66849656
ATPIF1	-0.229	0.600362991
SV2B	-0.229	0.661155947
ARID1B	-0.229	0.752768904
TK1	-0.229	0.883609252
ASB16	-0.228	0.86074972
C6orf25	-0.228	0.759812187
TSPO	-0.228	0.937327194
UNC5A	-0.228	0.971268866
DHRS9	-0.228	0.851597795
FOXP3	-0.228	0.964885195
ZNF865	-0.228	0.970136104
EVA1B	-0.228	0.925031407
RRAGD	-0.228	0.983524297
ACP6	-0.227	0.982233191
GALM	-0.227	0.87589315
HSP90B1	-0.227	0.455179965
RSPH10B	-0.227	0.87589315
HMX1	-0.227	0.281351815
C9orf96	-0.227	0.917663784
BTNL9	-0.227	0.8061065
AMH	-0.227	0.912621387
KCTD7	-0.227	0.807666819
FAM185A	-0.226	0.671236874
B3GALT5	-0.226	0.636446688
GALK1	-0.226	0.841232208
FGB	-0.226	0.65371191
TMED9	-0.226	0.710264705
C19orf10	-0.226	0.982913036
ZNF705D	-0.226	0.401135873
RAP2B	-0.226	0.99950732
RAD54L	-0.225	0.814596433
SLC12A7	-0.225	0.746956761
DAK	-0.225	0.530550362
UQCR11	-0.225	0.951010628
MFI2	-0.225	0.757694885
MGME1	-0.225	0.565247942
SSUH2	-0.225	0.748723883
ZFHX3	-0.225	0.989944915
GPR108	-0.225	0.997081807
PNMA2	-0.225	0.953956825
AKR1C1	-0.225	0.751631028
DDX43	-0.225	0.995666069
LYZL1	-0.224	0.735754361
AES	-0.224	0.664391865
WRNIP1	-0.224	0.928003158
TGM5	-0.224	0.385949851
SYT11	-0.224	0.985122274
NR5A1	-0.224	0.735235893
CNTF	-0.224	0.463224864
BSN	-0.224	0.942525067
TGFA	-0.223	0.37624672
ARID4B	-0.223	0.80713462
CCM2L	-0.223	0.938771433
FAM20B	-0.223	0.634284902
PTCHD3	-0.223	0.982913036
EPYC	-0.223	0.921248752
C19orf82	-0.223	0.97145564
KEL	-0.223	0.700999866
SOCS5	-0.223	0.942620961
ZNF512	-0.222	0.833695096
ANXA9	-0.222	0.994967661
IGSF11	-0.222	0.66309736
C20orf173	-0.222	0.814445295
ITGAL	-0.222	0.985518271
SYT13	-0.222	0.929755399
OGFRL1	-0.222	0.951071242
APOL3	-0.222	0.756697383
CEP104	-0.222	0.927873223
SHD	-0.222	0.903931248
VGLL4	-0.222	0.760931001
LDLRAD2	-0.222	0.733936425
RFX5	-0.222	0.905443792
BAD	-0.222	0.862988055
SLC22A5	-0.222	0.685017244
ZNF80	-0.222	0.848943883
TMEM173	-0.221	0.844382531
EPG5	-0.221	0.589556206
SKIL	-0.221	0.498609485
RNASE8	-0.221	0.698534624
SSB	-0.221	0.952386732
FLNA	-0.221	0.83752458
FCHO2	-0.221	0.767301878
OGFOD2	-0.221	0.797754093
HLA-B	-0.221	0.595300085
UGP2	-0.221	0.899295612
C17orf98	-0.221	0.982913036
HS3ST1	-0.221	0.506656799
PRSS38	-0.221	0.85383967
PAEP	-0.220	0.918151052
PRDM13	-0.220	0.622267279
SPINK8	-0.220	0.646078294
RNF220	-0.220	0.683959536
GTF2IRD2	-0.220	0.839689404
A1BG	-0.220	0.951988369
C19orf71	-0.220	0.924681662
TGFB1	-0.220	0.861720291
ENPEP	-0.220	0.9084491
BAG1	-0.220	0.906190808
NDUFS7	-0.220	0.835824568
GLI2	-0.219	0.713180219
HSPB8	-0.219	0.945659321
C12orf65	-0.219	0.615030157
HBA1	-0.219	0.859494617
HBA2	-0.219	0.859494617
WHAMM	-0.219	0.999690568
HPCAL4	-0.219	0.885383835
MLEC	-0.219	0.784662466
SCGB1D2	-0.219	0.878239092
ZNF627	-0.219	0.870477714
RGS8	-0.219	0.714978549
HTR3A	-0.219	0.982913036
SLC9A4	-0.219	0.971043629
ACER3	-0.219	0.72984256
SLC8B1	-0.219	0.774516879
DOK1	-0.219	0.745192084
NDUFA4	-0.219	0.40474791
DNAAF3	-0.219	0.950536271
HIST4H4	-0.218	0.542264282
IQCE	-0.218	0.865685106
IL17RB	-0.218	0.992367946
ZNF230	-0.218	0.778438294
SERTAD1	-0.218	0.41807507
IZUMO4	-0.217	0.434284235
ZNF711	-0.217	0.641106676
RGSL1	-0.217	0.993427935
C17orf80	-0.217	0.895914889
FAM217B	-0.217	0.174928883
ARHGEF33	-0.217	0.946839353
FAM53C	-0.217	0.573232599
CNR2	-0.217	0.758544932
GAD2	-0.217	0.97158786
LRRTM4	-0.217	0.971641261
ZNF34	-0.217	0.877476519
TAF9	-0.217	0.865685106
HIST1H2AB	-0.217	0.989895721
TMEM215	-0.217	0.668184561
FAM177A1	-0.216	0.497220416
TMEM9	-0.216	0.489170178
RGR	-0.216	0.99299499
R3HCC1L	-0.216	0.803454253
LCE3C	-0.216	0.616626246
ATP12A	-0.216	0.999981769
RPUSD3	-0.216	0.776781608
CYB5D1	-0.216	0.675816685
DLX1	-0.216	0.483386811
TMED3	-0.216	0.937198077
MPHOSPH9	-0.216	0.934705609
B4GALNT3	-0.216	0.73978285
NDUFA4L2	-0.216	0.818537145
P2RY12	-0.216	0.960047112
ACTC1	-0.216	0.724049363
C19orf48	-0.215	0.981200934
TIMM8B	-0.215	0.947319555
C4orf40	-0.215	0.395507438
SLC25A11	-0.215	0.98459006
PTDSS1	-0.215	0.95624114
CNFN	-0.215	0.917314435
ACAT1	-0.215	0.623907987
DACH2	-0.215	0.72984256
LAMC2	-0.215	0.992315847
GFRA2	-0.215	0.51609588
ZNF37A	-0.215	0.986143446
G6PC3	-0.215	0.838862425
CEP97	-0.215	0.947187413
UCK1	-0.214	0.92488865
SPEF1	-0.214	0.882563534
CTH	-0.214	0.919430921
FAM187B	-0.214	0.750303601
MDH2	-0.214	0.620552305
CCDC105	-0.214	0.303120964
COL10A1	-0.214	0.360097194
FAM192A	-0.214	0.650437814
PEBP1	-0.214	0.934423845
PRR20A	-0.214	0.882563534
PRR20B	-0.214	0.882563534
PRR20C	-0.214	0.882563534
PRR20D	-0.214	0.882563534
PRR20E	-0.214	0.882563534
CCNE2	-0.213	0.856679181
ZNF175	-0.213	0.953537662
GPR4	-0.213	0.691214068
GLI1	-0.213	0.847279644
PDLIM2	-0.213	0.622711015
CCDC23	-0.213	0.900141782
CNIH4	-0.213	0.538846618
FAM47B	-0.213	0.909151161
KIAA1199	-0.213	0.88818106
HK3	-0.213	0.967544885
KRT34	-0.213	0.845178604
TTC23	-0.213	0.761766794
NMBR	-0.213	0.855019417
POLDIP3	-0.212	0.758657462
ZNF438	-0.212	0.987091923
FGF7	-0.212	0.864708834
PMM1	-0.212	0.664594755
LILRB1	-0.212	0.895002211
ZNF35	-0.212	0.504248118
ARFGAP2	-0.212	0.65751182
C1QTNF4	-0.212	0.831038517
GBX1	-0.212	0.924576416
PLEKHB1	-0.212	0.876095279
LGR4	-0.211	0.474856574
EML4	-0.211	0.929012665
ARV1	-0.211	0.334726367
BAAT	-0.211	0.381020293
ABTB1	-0.211	0.466650502
CLDN11	-0.211	0.997081807
FPR2	-0.210	0.470447411
CAV2	-0.210	0.828981329
TMBIM1	-0.210	0.835824568
MAPKAPK2	-0.210	0.750303601
SLC22A9	-0.210	0.784338306
PDXDC1	-0.210	0.688064169
PDCD10	-0.210	0.987080382
ZNF268	-0.210	0.662134557
NBEAL1	-0.210	0.634284902
TMEM54	-0.210	0.522534438
TCAP	-0.210	0.894840031
TEX33	-0.210	0.900478208
OXTR	-0.210	0.999690568
AMMECR1L	-0.210	0.80014838
DLL1	-0.210	0.986576948
RAB10	-0.210	0.7626636
SPACA4	-0.210	0.554118667
FAM160A2	-0.209	0.898790932
F3	-0.209	0.534788421
SEMA5B	-0.209	0.979020259
COMP	-0.209	0.903755607
CALHM3	-0.209	0.94363417
DRP2	-0.209	0.905443792
PLA2G16	-0.209	0.826532732
SLC25A2	-0.209	0.619782229
TTLL6	-0.209	0.687061546
HLA-DOA	-0.209	0.717861241
CHID1	-0.209	0.490793861
UCP2	-0.209	0.952704842
RFPL1	-0.209	0.304021396
GAB1	-0.209	0.895849711
SCNM1	-0.209	0.470704963
BSND	-0.208	0.878239092
SASH1	-0.208	0.96869682
FAM131A	-0.208	0.69738857
LRRC16A	-0.208	0.906190808
RINL	-0.208	0.765288718
WHSC1L1	-0.208	0.494532875
HELB	-0.208	0.822099325
GGA1	-0.208	0.909109787
PALM2-AKAP2	-0.207	0.746775064
FAM111B	-0.207	0.705807308
IGSF1	-0.207	0.192508594
TP53BP2	-0.207	0.764609428
HDGF	-0.207	0.960160969
HLA-DMB	-0.207	0.622805392
FAM57B	-0.207	0.303633749
RXRA	-0.207	0.971390252
CTSG	-0.207	0.956114291
CLMP	-0.207	0.647907644
TGM1	-0.207	0.611271714
C17orf70	-0.207	0.643053085
TTPAL	-0.207	0.770846726
SCNN1A	-0.207	0.881303216
EPSTI1	-0.206	0.081531293
AGPAT3	-0.206	0.949301382
SLC39A14	-0.206	0.667740109
LIN7C	-0.206	0.756697383
TAS1R2	-0.206	0.886188221
HFE	-0.206	0.727901927
TRMT61B	-0.206	0.74123937
PUSL1	-0.206	0.456763516
SYNGR3	-0.206	0.921038212
TSHB	-0.206	0.724428214
HOXA6	-0.206	0.523997519
KIF1A	-0.206	0.95442005
FGF11	-0.205	0.945042709
GCOM1	-0.205	0.811115141
LDHA	-0.205	0.695089201
MYZAP	-0.205	0.811115141
GGA2	-0.205	0.765212775
VN1R1	-0.205	0.805438951
ZNF706	-0.205	0.758920792
PDZRN3	-0.205	0.993236014
LOXHD1	-0.205	0.763496975
SLC39A1	-0.205	0.679984388
CD83	-0.205	0.505198269
SDCBP2	-0.205	0.929755399
SMPD1	-0.205	0.901726612
DNAJC6	-0.205	0.894997838
GJC3	-0.205	0.681959032
C22orf46	-0.205	0.956320169
HECW2	-0.205	0.908260063
TMEM88	-0.205	0.999690568
CCNI2	-0.204	0.71614641
ERCC5	-0.204	0.755045126
TDRKH	-0.204	0.747974521
H2AFX	-0.204	0.966872868
RMI2	-0.204	0.731552321
IL20	-0.204	0.831363348
NDUFS4	-0.204	0.145123222
ATAD5	-0.204	0.781197003
NLRP5	-0.204	0.752560627
PRRX1	-0.204	0.910474102
RAB34	-0.204	0.929579984
RNF169	-0.204	0.463255039
ZNF84	-0.204	0.634284902
APOL6	-0.204	0.871216156
HPS4	-0.204	0.986924977
RANGRF	-0.203	0.871475752
RSPH10B2	-0.203	0.690977682
ISX	-0.203	0.581108191
ACTR3C	-0.203	0.938771433
C2orf68	-0.203	0.925398231
MEF2C	-0.203	0.421140973
ZNRF3	-0.203	0.382186114
C1orf192	-0.203	0.735947361
C5orf15	-0.203	0.580967532
MAML1	-0.203	0.670127292
GIT2	-0.203	0.978207645
CISH	-0.203	0.99257868
CDKN2AIPNL	-0.203	0.828981329
AKAP10	-0.202	0.63400833
BBS9	-0.202	0.7623533
SLC6A1	-0.202	0.781078588
SEC14L4	-0.202	0.589556206
EPM2A	-0.202	0.347393428
RNF166	-0.202	0.761766794
TESK1	-0.202	0.769007942
C8G	-0.202	0.929300883
FAR1	-0.202	0.974521668
MANF	-0.202	0.634284902
HSDL1	-0.202	0.896170822
NDUFS8	-0.202	0.853753416
CST1	-0.201	0.565862142
ODF3L1	-0.201	0.483386811
PRPS2	-0.201	0.349373066
MYOZ2	-0.201	0.924382082
EFHC1	-0.201	0.650156798
LTBP1	-0.201	0.833998982
NFAT5	-0.201	0.905534554
HLA-DPB1	-0.201	0.664798895
MFSD6	-0.201	0.829472559
TOX4	-0.201	0.84487209
UBL7	-0.201	0.672506903
HIST1H4D	-0.201	0.906163918
DNAJC1	-0.201	0.974521668
TATDN3	-0.201	0.622233036
PRR5-ARHGAP8	-0.201	0.977483092
SOX13	-0.201	0.45783151
ASAP1	-0.201	0.936912807
ICA1L	-0.201	0.967908401
NFRKB	-0.201	0.685676403
ROM1	-0.201	0.961580247
ARHGAP15	-0.200	0.897789736
CXCL1	-0.200	0.918297435
NCOA2	-0.200	0.999690568
KRT27	-0.200	0.721189036
USE1	-0.200	0.902602695
LRRC37B	-0.200	0.871475752
GINM1	-0.200	0.38080866
MS4A3	-0.200	0.719855214
FAM19A2	-0.200	0.402104266
EBF1	-0.200	0.96869682
IDI2	-0.200	0.771959399
SH3PXD2A	-0.200	0.847846913
HIST3H2A	-0.199	0.671236874
TTC36	-0.199	0.698818695
HENMT1	-0.199	0.640275479
H1FOO	-0.199	0.81286273
RALGPS2	-0.199	0.816935572
MUC15	-0.199	0.134542901
C5	-0.199	0.797754093
TAOK1	-0.199	0.989781143
TENM4	-0.199	0.991595241
SELO	-0.199	0.350791884
THRB	-0.199	0.959586885
C1S	-0.199	0.843601035
TERT	-0.199	0.827433326
SUSD5	-0.199	0.75422721
C10orf128	-0.199	0.468636179
GRM8	-0.198	0.797622678
REPS1	-0.198	0.972817133
CYS1	-0.198	0.66494271
CCL4L1	-0.198	0.747814705
SLIT1	-0.198	0.848656177
NRROS	-0.198	0.711028353
TEX264	-0.198	0.949484671
PRR16	-0.198	0.960954169
CA4	-0.198	0.937327194
ACOT4	-0.197	0.304245719
TP53TG5	-0.197	0.852255887
PIGH	-0.197	0.96167121
NARG2	-0.197	0.758544932
RELL2	-0.197	0.792916598
C15orf57	-0.197	0.849505355
KCNJ9	-0.197	0.87589315
PAK6	-0.197	0.394026309
TSPAN32	-0.197	0.573170146
KIAA1804	-0.197	0.656361514
NCKAP1	-0.197	0.439900512
UTF1	-0.197	0.591667083
AK5	-0.197	0.919766426
RETN	-0.197	0.855306995
ACAT2	-0.196	0.943847477
CLPS	-0.196	0.85449916
RAB43	-0.196	0.708893805
MIXL1	-0.196	0.923532833
ANKRD66	-0.196	0.993888739
CSK	-0.196	0.652490589
SRXN1	-0.196	0.855855379
B4GALT6	-0.196	0.850446571
TMEM92	-0.196	0.950092079
IRF1	-0.196	0.641937864
MBOAT4	-0.195	0.958758914
MRFAP1L1	-0.195	0.55351042
ADAMTS4	-0.195	0.917314435
CHDH	-0.195	0.869831948
DAAM2	-0.195	0.789436832
XK	-0.195	0.250129936
WWTR1	-0.195	0.790597037
ZEB1	-0.195	0.982021279
TAPBP	-0.195	0.931215411
PRAMEF20	-0.194	0.653144324
CRY2	-0.194	0.919695752
ICAM5	-0.194	0.483386811
SMURF2	-0.194	0.895962622
PCP4L1	-0.194	0.596074707
UBN1	-0.194	0.816021122
ATP5G3	-0.194	0.93182179
GIT1	-0.194	0.948506959
DUSP11	-0.194	0.795687336
SLC47A2	-0.194	0.934423845
ARPC1A	-0.194	0.929755399
PXMP2	-0.194	0.767793338
NPR2	-0.194	0.570804887
ZFP3	-0.194	0.844814554
ZNF548	-0.194	0.917750207
HLA-DPA1	-0.194	0.810734486
C1orf64	-0.194	0.950954077
GDAP1L1	-0.194	0.722240039
INPP5E	-0.194	0.708376296
SCNN1D	-0.194	0.855342855
NUP35	-0.193	0.580160088
FOXJ3	-0.193	0.753780975
TCN1	-0.193	0.446283503
GML	-0.193	0.845178604
MICAL1	-0.193	0.954310345
ALOX12B	-0.193	0.950697026
GNAS	-0.193	0.966735524
BPIFC	-0.193	0.676357468
ZCCHC13	-0.193	0.625904796
LZIC	-0.193	0.853340027
CSH2	-0.192	0.719091502
TUBA3C	-0.192	0.958214845
PROSC	-0.192	0.764816506
CAMK2N1	-0.192	0.731552321
INPP5J	-0.192	0.989944915
DHRS3	-0.192	0.977189051
KCNH5	-0.192	0.534891068
GTPBP10	-0.192	0.965175109
SCARA3	-0.192	0.749491776
CYP7A1	-0.192	0.994967661
CDHR4	-0.192	0.54417279
GPR98	-0.192	0.70413574
PENK	-0.192	0.639038752
GABRG3	-0.191	0.898790932
TCF25	-0.191	0.546553239
SLC25A38	-0.191	0.905245563
ACAA1	-0.191	0.917205457
CCRL2	-0.191	0.850446571
ARHGEF40	-0.191	0.760433005
SURF1	-0.191	0.440521187
UBR1	-0.191	0.830726145
CCL4L2	-0.191	0.747814705
DEFB118	-0.191	0.952386732
ICAM4	-0.190	0.760433005
FANK1	-0.190	0.563831673
TDRD5	-0.190	0.868454613
SPAG1	-0.190	0.659291384
TPCN1	-0.190	0.687042599
TMEM38A	-0.190	0.998846418
IQCG	-0.190	0.530550362
IL32	-0.190	0.922506131
ATOX1	-0.190	0.744884024
WDR93	-0.190	0.938077718
ATM	-0.190	0.664804454
NTAN1	-0.190	0.998932037
C1QTNF9	-0.189	0.979622784
CACNA1F	-0.189	0.948506959
ABCA3	-0.189	0.693973747
TMEM217	-0.189	0.961580247
KLK13	-0.189	0.919441273
MED13	-0.189	0.427990006
DCLK3	-0.189	0.607790053
TTLL7	-0.189	0.985656583
CSGALNACT2	-0.189	0.91308514
SHISA7	-0.189	0.518316064
EID1	-0.189	0.93264554
VWA3A	-0.189	0.930541517
AIRE	-0.189	0.87589315
VPS9D1	-0.189	0.925398231
TMEM72	-0.189	0.822099325
CDC42BPA	-0.188	0.979006849
PCDH7	-0.188	0.400820409
MPZ	-0.188	0.886364637
TPTE	-0.188	0.705807308
COG3	-0.188	0.937530209
MOAP1	-0.188	0.645419623
PRKCI	-0.188	0.873199043
PTPRG	-0.188	0.995666069
TOB1	-0.187	0.990690686
AIF1	-0.187	0.863506461
ZFP64	-0.187	0.915721891
DCAF11	-0.187	0.965675913
FAM46B	-0.187	0.862904863
PWWP2A	-0.187	0.976616324
SLC7A8	-0.187	0.92743007
GCGR	-0.187	0.658149186
COL24A1	-0.187	0.835824568
EIF4H	-0.187	0.956187044
MAGEB1	-0.187	0.372574071
MAST2	-0.187	0.822127997
WFDC5	-0.187	0.874587906
DGKB	-0.187	0.563351497
BAX	-0.187	0.948800989
SELENBP1	-0.187	0.573231971
BPIFB2	-0.187	0.984146694
OSBPL11	-0.187	0.926762361
C1orf204	-0.186	0.636446688
CLRN1	-0.186	0.600730024
SRSF5	-0.186	0.610580569
TRIM11	-0.186	0.478654659
MKNK2	-0.186	0.265546655
SAPCD2	-0.186	0.878239092
IGFBP2	-0.186	0.926344901
SYNRG	-0.185	0.943663241
EFCAB12	-0.185	0.860213353
MCMDC2	-0.185	0.913029129
MAGEH1	-0.185	0.895948004
ADAM12	-0.185	0.745832525
UBTD1	-0.185	0.90144717
ADAMTS12	-0.185	0.434835573
CEACAM21	-0.185	0.897469311
IKBKE	-0.185	0.742497227
C1orf50	-0.185	0.906464171
GRK7	-0.185	0.599298431
ACOT12	-0.185	0.950933397
CALB2	-0.185	0.306079802
TRIP11	-0.185	0.573514376
MVP	-0.185	0.888041917
SMYD4	-0.185	0.971704839
TMEM177	-0.184	0.773694958
AFAP1L1	-0.184	0.850630639
TMEM98	-0.184	0.564485503
MMAB	-0.184	0.694797245
RBM6	-0.184	0.589670405
ZDHHC16	-0.184	0.310355597
C5orf55	-0.184	0.912760549
LCN9	-0.184	0.787176686
NBL1	-0.184	0.964885195
PRDX3	-0.184	0.751413682
FGF2	-0.184	0.675349518
ZBED3	-0.184	0.815475746
ZFP14	-0.184	0.633858015
CDSN	-0.183	0.986924977
GPR85	-0.183	0.904402034
LRIG2	-0.183	0.758920792
SYT7	-0.183	0.868277944
CLDN14	-0.183	0.898720701
LCMT2	-0.183	0.461666515
FLT3LG	-0.183	0.795374167
LURAP1	-0.183	0.882563534
MAP4	-0.183	0.650437814
NLGN3	-0.183	0.78495092
TRANK1	-0.183	0.770846726
CRHBP	-0.183	0.952658296
DUSP22	-0.183	0.822127997
CLEC4A	-0.183	0.481592453
TPR	-0.183	0.918764162
SMAD3	-0.182	0.65930017
PEX7	-0.182	0.891583511
OTOS	-0.182	0.634284902
FETUB	-0.182	0.984511327
TSPAN17	-0.182	0.954063913
MCOLN3	-0.182	0.464237069
CCNY	-0.182	0.894257054
GLI4	-0.182	0.859494617
DECR2	-0.182	0.829422593
PHLDB2	-0.182	0.890587204
FAM120C	-0.182	0.937235516
CLTB	-0.181	0.495899693
AVPR2	-0.181	0.132609476
XAGE5	-0.181	0.985670471
ZNF554	-0.181	0.971676322
PLAG1	-0.181	0.979585597
ENTPD8	-0.181	0.96869682
GALNT3	-0.180	0.99257868
CBX5	-0.180	0.603409603
LTK	-0.180	0.776098444
ARID5B	-0.180	0.683411574
GRIN2D	-0.180	0.986332197
POLE3	-0.180	0.785578767
LMTK2	-0.180	0.61751203
PSMD5	-0.180	0.518316064
C15orf27	-0.180	0.814744278
THUMPD1	-0.180	0.771663835
ELOVL3	-0.180	0.83752458
DUSP10	-0.179	0.964885195
LIMCH1	-0.179	0.739592664
RASSF1	-0.179	0.875293309
SLC5A6	-0.179	0.985963447
CHUK	-0.179	0.966340556
KBTBD4	-0.179	0.638769573
ADAL	-0.179	0.936912807
RNF38	-0.179	0.981569778
GLO1	-0.179	0.813143511
ZNF250	-0.178	0.778516722
UBAP2L	-0.178	0.945345615
ANGPTL7	-0.178	0.639266931
BLOC1S2	-0.178	0.16578238
TNFSF14	-0.178	0.624726865
C5orf45	-0.178	0.824206876
IL36RN	-0.178	0.932161217
PGM2L1	-0.178	0.585680001
PROSER2	-0.178	0.982021279
STON1-GTF2A1L	-0.178	0.877906265
YBX3	-0.178	0.789436832
WDR45B	-0.177	0.737192823
PCDHGA8	-0.177	0.518915265
SIAE	-0.177	0.900674837
PLEKHG4	-0.177	0.839434984
DUSP8	-0.177	0.822127997
RGMA	-0.177	0.744740166
MAGEB17	-0.177	0.5901602
CD2BP2	-0.177	0.296431478
TRAF3IP3	-0.177	0.818115701
GPR125	-0.177	0.099909544
ENSA	-0.176	0.682918606
ABCD1	-0.176	0.775599682
GJD4	-0.176	0.975542528
BTBD18	-0.176	0.794298699
CPXM2	-0.176	0.873534681
ZIM2	-0.176	0.256558251
TRMU	-0.176	0.871216156
KCNT1	-0.176	0.83838438
SLC16A14	-0.175	0.453346992
SPATA12	-0.175	0.772924213
TBC1D21	-0.175	0.684722582
SLC35G1	-0.175	0.92352444
REEP1	-0.175	0.941076579
C7orf10	-0.175	0.951010628
LCTL	-0.175	0.377679273
ANO10	-0.175	0.952401331
POTEB	-0.175	0.686057193
POTEB2	-0.175	0.686057193
RAB6A	-0.175	0.909379283
GNPDA1	-0.175	0.880063897
HOMER2	-0.175	0.647907644
TMEM129	-0.174	0.776781608
TCF19	-0.174	0.522776576
ARHGEF37	-0.174	0.835824568
KLHDC10	-0.174	0.842139075
C5orf42	-0.174	0.525579464
ZNF415	-0.174	0.936912807
GPX5	-0.174	0.478540646
INO80D	-0.174	0.851327175
SRCIN1	-0.174	0.897469311
KIAA1731	-0.174	0.778868713
ADRA2A	-0.174	0.72984256
LLPH	-0.173	0.932161217
OXLD1	-0.173	0.845178604
PEX3	-0.173	0.814744278
WNT7A	-0.173	0.873249109
TACO1	-0.173	0.765906307
C19orf24	-0.173	0.689458317
CCDC181	-0.173	0.911746123
SULT1C4	-0.173	0.340550384
FZD7	-0.173	0.691272708
MACF1	-0.173	0.85530136
SLC23A2	-0.173	0.518572412
LEPR	-0.173	0.950933397
PNPLA1	-0.173	0.756697383
CRYL1	-0.173	0.851054016
MCIDAS	-0.173	0.982412594
ZCCHC10	-0.173	0.901591387
SLC26A3	-0.172	0.579683324
SDC3	-0.172	0.828179669
RASD2	-0.172	0.302158529
SENP5	-0.172	0.56075765
IP6K2	-0.172	0.915260777
SPDYE2	-0.172	0.762365246
SPDYE2B	-0.172	0.762365246
HMOX1	-0.172	0.587408656
SLC25A17	-0.172	0.502670605
DOK4	-0.172	0.843148982
PARK2	-0.172	0.859494617
C1orf95	-0.172	0.865152579
SEPT12	-0.172	0.996431194
MESP2	-0.172	0.418982934
ERP29	-0.171	0.7626636
KNOP1	-0.171	0.589556206
COQ10B	-0.171	0.758544932
PURB	-0.171	0.83587281
PYCR1	-0.171	0.957921794
FAF1	-0.171	0.751644463
GUCA1B	-0.171	0.666345174
NUDT12	-0.171	0.751631028
ABAT	-0.171	0.511945973
CHI3L1	-0.171	0.896717044
GAK	-0.171	0.987637117
RIPK1	-0.171	0.801009474
FAM20C	-0.171	0.986576948
GDF6	-0.171	0.760931001
STK32A	-0.171	0.359379541
WNT3A	-0.171	0.624726865
EID3	-0.171	0.795374167
REP15	-0.170	0.309276591
PPFIA2	-0.170	0.639350376
SEC11A	-0.170	0.592057788
SLC16A6	-0.170	0.960643044
SSH2	-0.170	0.427297923
CAPN10	-0.170	0.962548386
GPR97	-0.170	0.685017244
PITPNC1	-0.170	0.898790932
MAP2K2	-0.170	0.814372446
FABP1	-0.170	0.806645812
VTA1	-0.170	0.750303601
GTF2IRD1	-0.170	0.871216156
PARP8	-0.170	0.311955618
NME4	-0.170	0.911973473
SUV420H1	-0.170	0.918297435
ERGIC1	-0.170	0.542603646
RALGAPB	-0.170	0.744740166
GRM7	-0.169	0.900085118
C2orf44	-0.169	0.597158547
IFNGR1	-0.169	0.792716642
ITGAV	-0.169	0.444601137
PPAPDC3	-0.169	0.698818695
MYBPC2	-0.169	0.927014218
CABP1	-0.169	0.982412594
IQGAP2	-0.169	0.756697383
CD2AP	-0.169	0.949484671
CALCOCO2	-0.169	0.91877411
RBM33	-0.168	0.998313198
PRSS36	-0.168	0.661346098
CPED1	-0.168	0.681547584
