site	c	s	e	str	Ess	round
	chr2	140805000	140810000	chr2-140805000	untested	untested
	chr2	141680000	141685000	chr2-141680000	untested	untested
	chr2	142720000	142725000	chr2-142720000	untested	untested
	chr2	141370000	141375000	chr2-141370000	untested	untested
	chr2	143185000	143190000	chr2-143185000	untested	untested
	chr2	141555000	141560000	chr2-141555000	untested	untested
	chr2	141060000	141065000	chr2-141060000	untested	untested
	chr2	141200000	141205000	chr2-141200000	untested	untested
	chr2	147165000	147170000	chr2-147165000	untested	untested
	chr2	147910000	147915000	chr2-147910000	untested	untested
	chr2	144620000	144625000	chr2-144620000	untested	untested
	chr2	149135000	149140000	chr2-149135000	untested	untested
	chr2	153855000	153860000	chr2-153855000	untested	untested
	chr2	149140000	149145000	chr2-149140000	untested	untested
	chr2	154290000	154295000	chr2-154290000	untested	untested
	chr2	155005000	155010000	chr2-155005000	untested	untested
	chr2	155650000	155655000	chr2-155650000	untested	untested
	chr2	156825000	156830000	chr2-156825000	untested	untested
	chr2	154110000	154115000	chr2-154110000	untested	untested
	chr2	154875000	154880000	chr2-154875000	untested	untested
	chr2	157820000	157825000	chr2-157820000	untested	untested
	chr2	154485000	154490000	chr2-154485000	untested	untested
	chr2	162725000	162730000	chr2-162725000	untested	untested
	chr2	163605000	163610000	chr2-163605000	untested	untested
	chr2	163790000	163795000	chr2-163790000	untested	untested
	chr2	162670000	162675000	chr2-162670000	untested	untested
	chr2	161625000	161630000	chr2-161625000	untested	untested
	chr2	162780000	162785000	chr2-162780000	untested	untested
	chr2	161710000	161715000	chr2-161710000	untested	untested
	chr2	163425000	163430000	chr2-163425000	untested	untested
	chr2	161615000	161620000	chr2-161615000	untested	untested
	chr2	164560000	164565000	chr2-164560000	untested	untested
	chr2	166565000	166570000	chr2-166565000	untested	untested
	chr2	166590000	166595000	chr2-166590000	untested	untested
	chr2	166345000	166350000	chr2-166345000	untested	untested
	chr2	167865000	167870000	chr2-167865000	untested	untested
	chr2	168520000	168525000	chr2-168520000	untested	untested
	chr2	164845000	164850000	chr2-164845000	untested	untested
	chr2	167710000	167715000	chr2-167710000	untested	untested
	chr2	167940000	167945000	chr2-167940000	untested	untested
	chr2	179850000	179855000	chr2-179850000	untested	untested
	chr2	179925000	179930000	chr2-179925000	untested	untested
	chr2	183610000	183615000	chr2-183610000	untested	untested
	chr2	181695000	181700000	chr2-181695000	untested	untested
	chr2	186455000	186460000	chr2-186455000	untested	untested
	chr2	184780000	184785000	chr2-184780000	untested	untested
	chr2	185810000	185815000	chr2-185810000	untested	untested
	chr2	186450000	186455000	chr2-186450000	untested	untested
	chr2	184715000	184720000	chr2-184715000	untested	untested
	chr2	184450000	184455000	chr2-184450000	untested	untested
	chr2	188050000	188055000	chr2-188050000	untested	untested
	chr2	188535000	188540000	chr2-188535000	untested	untested
	chr2	188990000	188995000	chr2-188990000	untested	untested
	chr2	189030000	189035000	chr2-189030000	untested	untested
	chr2	189525000	189530000	chr2-189525000	untested	untested
	chr2	189530000	189535000	chr2-189530000	untested	untested
	chr2	189535000	189540000	chr2-189535000	untested	untested
	chr2	189570000	189575000	chr2-189570000	untested	untested
	chr2	189580000	189585000	chr2-189580000	untested	untested
	chr2	189605000	189610000	chr2-189605000	untested	untested
	chr2	189635000	189640000	chr2-189635000	untested	untested
	chr2	189640000	189645000	chr2-189640000	untested	untested
	chr2	189645000	189650000	chr2-189645000	untested	untested
	chr2	189660000	189665000	chr2-189660000	untested	untested
	chr2	189665000	189670000	chr2-189665000	untested	untested
	chr2	189680000	189685000	chr2-189680000	untested	untested
	chr2	189710000	189715000	chr2-189710000	untested	untested
	chr2	189750000	189755000	chr2-189750000	untested	untested
	chr2	189775000	189780000	chr2-189775000	untested	untested
	chr2	189790000	189795000	chr2-189790000	untested	untested
	chr2	189820000	189825000	chr2-189820000	untested	untested
	chr2	189855000	189860000	chr2-189855000	untested	untested
	chr2	189860000	189865000	chr2-189860000	untested	untested
	chr2	192290000	192295000	chr2-192290000	untested	untested
	chr2	193080000	193085000	chr2-193080000	untested	untested
	chr2	193100000	193105000	chr2-193100000	untested	untested
	chr2	193130000	193135000	chr2-193130000	untested	untested
	chr2	193135000	193140000	chr2-193135000	untested	untested
	chr2	193140000	193145000	chr2-193140000	untested	untested
	chr2	193160000	193165000	chr2-193160000	untested	untested
	chr2	193170000	193175000	chr2-193170000	untested	untested
	chr2	193185000	193190000	chr2-193185000	untested	untested
	chr2	193210000	193215000	chr2-193210000	untested	untested
	chr2	193230000	193235000	chr2-193230000	untested	untested
	chr2	193235000	193240000	chr2-193235000	untested	untested
	chr2	193270000	193275000	chr2-193270000	untested	untested
	chr2	193280000	193285000	chr2-193280000	untested	untested
	chr2	193295000	193300000	chr2-193295000	untested	untested
	chr2	193345000	193350000	chr2-193345000	untested	untested
	chr2	193375000	193380000	chr2-193375000	untested	untested
	chr2	193380000	193385000	chr2-193380000	untested	untested
	chr2	193455000	193460000	chr2-193455000	untested	untested
	chr2	193460000	193465000	chr2-193460000	untested	untested
	chr2	193485000	193490000	chr2-193485000	untested	untested
	chr2	193495000	193500000	chr2-193495000	untested	untested
	chr2	193520000	193525000	chr2-193520000	untested	untested
	chr2	193530000	193535000	chr2-193530000	untested	untested
	chr2	193545000	193550000	chr2-193545000	untested	untested
	chr2	193555000	193560000	chr2-193555000	untested	untested
	chr2	193565000	193570000	chr2-193565000	untested	untested
	chr2	193580000	193585000	chr2-193580000	untested	untested
	chr2	193585000	193590000	chr2-193585000	untested	untested
	chr2	193595000	193600000	chr2-193595000	untested	untested
	chr2	193600000	193605000	chr2-193600000	untested	untested
	chr2	193605000	193610000	chr2-193605000	untested	untested
	chr2	189540000	189545000	chr2-189540000	untested	untested
	chr2	189610000	189615000	chr2-189610000	untested	untested
	chr2	189625000	189630000	chr2-189625000	untested	untested
	chr2	189675000	189680000	chr2-189675000	untested	untested
	chr2	189685000	189690000	chr2-189685000	untested	untested
	chr2	189695000	189700000	chr2-189695000	untested	untested
	chr2	189735000	189740000	chr2-189735000	untested	untested
	chr2	189800000	189805000	chr2-189800000	untested	untested
	chr2	189840000	189845000	chr2-189840000	untested	untested
	chr2	189890000	189895000	chr2-189890000	untested	untested
	chr2	192605000	192610000	chr2-192605000	untested	untested
	chr2	193105000	193110000	chr2-193105000	untested	untested
	chr2	193145000	193150000	chr2-193145000	untested	untested
	chr2	193150000	193155000	chr2-193150000	untested	untested
	chr2	193245000	193250000	chr2-193245000	untested	untested
	chr2	193255000	193260000	chr2-193255000	untested	untested
	chr2	193260000	193265000	chr2-193260000	untested	untested
	chr2	193265000	193270000	chr2-193265000	untested	untested
	chr2	193275000	193280000	chr2-193275000	untested	untested
	chr2	193315000	193320000	chr2-193315000	untested	untested
	chr2	193320000	193325000	chr2-193320000	untested	untested
	chr2	193335000	193340000	chr2-193335000	untested	untested
	chr2	193385000	193390000	chr2-193385000	untested	untested
	chr2	193410000	193415000	chr2-193410000	untested	untested
	chr2	193420000	193425000	chr2-193420000	untested	untested
	chr2	193430000	193435000	chr2-193430000	untested	untested
	chr2	193435000	193440000	chr2-193435000	untested	untested
	chr2	193450000	193455000	chr2-193450000	untested	untested
	chr2	193615000	193620000	chr2-193615000	untested	untested
	chr2	193630000	193635000	chr2-193630000	untested	untested
	chr2	189545000	189550000	chr2-189545000	untested	untested
	chr2	189560000	189565000	chr2-189560000	untested	untested
	chr2	189575000	189580000	chr2-189575000	untested	untested
	chr2	189595000	189600000	chr2-189595000	untested	untested
	chr2	189620000	189625000	chr2-189620000	untested	untested
	chr2	189670000	189675000	chr2-189670000	untested	untested
	chr2	189730000	189735000	chr2-189730000	untested	untested
	chr2	189805000	189810000	chr2-189805000	untested	untested
	chr2	192625000	192630000	chr2-192625000	untested	untested
	chr2	193085000	193090000	chr2-193085000	untested	untested
	chr2	193120000	193125000	chr2-193120000	untested	untested
	chr2	193125000	193130000	chr2-193125000	untested	untested
	chr2	193165000	193170000	chr2-193165000	untested	untested
	chr2	193180000	193185000	chr2-193180000	untested	untested
	chr2	193200000	193205000	chr2-193200000	untested	untested
	chr2	193240000	193245000	chr2-193240000	untested	untested
	chr2	193250000	193255000	chr2-193250000	untested	untested
	chr2	193360000	193365000	chr2-193360000	untested	untested
	chr2	193400000	193405000	chr2-193400000	untested	untested
	chr2	193405000	193410000	chr2-193405000	untested	untested
	chr2	193445000	193450000	chr2-193445000	untested	untested
	chr2	193465000	193470000	chr2-193465000	untested	untested
	chr2	193510000	193515000	chr2-193510000	untested	untested
	chr2	193515000	193520000	chr2-193515000	untested	untested
	chr2	193525000	193530000	chr2-193525000	untested	untested
	chr2	193535000	193540000	chr2-193535000	untested	untested
	chr2	193575000	193580000	chr2-193575000	untested	untested
	chr2	193620000	193625000	chr2-193620000	untested	untested
	chr2	189565000	189570000	chr2-189565000	untested	untested
	chr2	189600000	189605000	chr2-189600000	untested	untested
	chr2	189650000	189655000	chr2-189650000	untested	untested
	chr2	189655000	189660000	chr2-189655000	untested	untested
	chr2	189795000	189800000	chr2-189795000	untested	untested
	chr2	189850000	189855000	chr2-189850000	untested	untested
	chr2	193225000	193230000	chr2-193225000	untested	untested
	chr2	193355000	193360000	chr2-193355000	untested	untested
	chr2	193370000	193375000	chr2-193370000	untested	untested
	chr2	193425000	193430000	chr2-193425000	untested	untested
	chr2	193490000	193495000	chr2-193490000	untested	untested
	chr2	189505000	189510000	chr2-189505000	untested	untested
	chr2	189705000	189710000	chr2-189705000	untested	untested
	chr2	189755000	189760000	chr2-189755000	untested	untested
	chr2	190185000	190190000	chr2-190185000	untested	untested
	chr2	193325000	193330000	chr2-193325000	untested	untested
	chr2	193390000	193395000	chr2-193390000	untested	untested
	chr2	193440000	193445000	chr2-193440000	untested	untested
	chr2	193505000	193510000	chr2-193505000	untested	untested
	chr2	189585000	189590000	chr2-189585000	untested	untested
	chr2	189630000	189635000	chr2-189630000	untested	untested
	chr2	192325000	192330000	chr2-192325000	untested	untested
	chr2	193300000	193305000	chr2-193300000	untested	untested
	chr2	193470000	193475000	chr2-193470000	untested	untested
	chr2	193590000	193595000	chr2-193590000	untested	untested
	chr2	188775000	188780000	chr2-188775000	untested	untested
	chr2	193475000	193480000	chr2-193475000	untested	untested
	chr2	193610000	193615000	chr2-193610000	untested	untested
	chr2	193305000	193310000	chr2-193305000	untested	untested
	chr2	193330000	193335000	chr2-193330000	untested	untested
	chr2	193190000	193195000	chr2-193190000	untested	untested
	chr2	193570000	193575000	chr2-193570000	untested	untested
	chr2	193415000	193420000	chr2-193415000	untested	untested
	chr2	193640000	193645000	chr2-193640000	untested	untested
	chr2	193645000	193650000	chr2-193645000	untested	untested
	chr2	193650000	193655000	chr2-193650000	untested	untested
	chr2	193660000	193665000	chr2-193660000	untested	untested
	chr2	193670000	193675000	chr2-193670000	untested	untested
	chr2	193695000	193700000	chr2-193695000	untested	untested
	chr2	193720000	193725000	chr2-193720000	untested	untested
	chr2	193725000	193730000	chr2-193725000	untested	untested
	chr2	193735000	193740000	chr2-193735000	untested	untested
	chr2	193755000	193760000	chr2-193755000	untested	untested
	chr2	193760000	193765000	chr2-193760000	untested	untested
	chr2	193765000	193770000	chr2-193765000	untested	untested
	chr2	193770000	193775000	chr2-193770000	untested	untested
	chr2	193785000	193790000	chr2-193785000	untested	untested
	chr2	193800000	193805000	chr2-193800000	untested	untested
	chr2	193810000	193815000	chr2-193810000	untested	untested
	chr2	193825000	193830000	chr2-193825000	untested	untested
	chr2	193830000	193835000	chr2-193830000	untested	untested
	chr2	193845000	193850000	chr2-193845000	untested	untested
	chr2	193850000	193855000	chr2-193850000	untested	untested
	chr2	193865000	193870000	chr2-193865000	untested	untested
	chr2	193870000	193875000	chr2-193870000	untested	untested
	chr2	193905000	193910000	chr2-193905000	untested	untested
	chr2	193945000	193950000	chr2-193945000	untested	untested
	chr2	193975000	193980000	chr2-193975000	untested	untested
	chr2	193985000	193990000	chr2-193985000	untested	untested
	chr2	193990000	193995000	chr2-193990000	untested	untested
	chr2	194000000	194005000	chr2-194000000	untested	untested
	chr2	194025000	194030000	chr2-194025000	untested	untested
	chr2	194040000	194045000	chr2-194040000	untested	untested
	chr2	194085000	194090000	chr2-194085000	untested	untested
	chr2	194090000	194095000	chr2-194090000	untested	untested
	chr2	194155000	194160000	chr2-194155000	untested	untested
	chr2	194180000	194185000	chr2-194180000	untested	untested
	chr2	194200000	194205000	chr2-194200000	untested	untested
	chr2	194210000	194215000	chr2-194210000	untested	untested
	chr2	194220000	194225000	chr2-194220000	untested	untested
	chr2	194250000	194255000	chr2-194250000	untested	untested
	chr2	194270000	194275000	chr2-194270000	untested	untested
	chr2	194285000	194290000	chr2-194285000	untested	untested
	chr2	194295000	194300000	chr2-194295000	untested	untested
	chr2	194315000	194320000	chr2-194315000	untested	untested
	chr2	194320000	194325000	chr2-194320000	untested	untested
	chr2	194325000	194330000	chr2-194325000	untested	untested
	chr2	194420000	194425000	chr2-194420000	untested	untested
	chr2	194475000	194480000	chr2-194475000	untested	untested
	chr2	194485000	194490000	chr2-194485000	untested	untested
	chr2	194500000	194505000	chr2-194500000	untested	untested
	chr2	194510000	194515000	chr2-194510000	untested	untested
	chr2	194520000	194525000	chr2-194520000	untested	untested
	chr2	194525000	194530000	chr2-194525000	untested	untested
	chr2	194545000	194550000	chr2-194545000	untested	untested
	chr2	194550000	194555000	chr2-194550000	untested	untested
	chr2	194555000	194560000	chr2-194555000	untested	untested
	chr2	194595000	194600000	chr2-194595000	untested	untested
	chr2	194625000	194630000	chr2-194625000	untested	untested
	chr2	194635000	194640000	chr2-194635000	untested	untested
	chr2	194650000	194655000	chr2-194650000	untested	untested
	chr2	194670000	194675000	chr2-194670000	untested	untested
	chr2	194685000	194690000	chr2-194685000	untested	untested
	chr2	194700000	194705000	chr2-194700000	untested	untested
	chr2	194710000	194715000	chr2-194710000	untested	untested
	chr2	194725000	194730000	chr2-194725000	untested	untested
	chr2	194740000	194745000	chr2-194740000	untested	untested
	chr2	194745000	194750000	chr2-194745000	untested	untested
	chr2	194755000	194760000	chr2-194755000	untested	untested
	chr2	194790000	194795000	chr2-194790000	untested	untested
	chr2	194795000	194800000	chr2-194795000	untested	untested
	chr2	194800000	194805000	chr2-194800000	untested	untested
	chr2	194810000	194815000	chr2-194810000	untested	untested
	chr2	194815000	194820000	chr2-194815000	untested	untested
	chr2	194820000	194825000	chr2-194820000	untested	untested
	chr2	194875000	194880000	chr2-194875000	untested	untested
	chr2	194895000	194900000	chr2-194895000	untested	untested
	chr2	194910000	194915000	chr2-194910000	untested	untested
	chr2	194930000	194935000	chr2-194930000	untested	untested
	chr2	194950000	194955000	chr2-194950000	untested	untested
	chr2	194975000	194980000	chr2-194975000	untested	untested
	chr2	195040000	195045000	chr2-195040000	untested	untested
	chr2	195090000	195095000	chr2-195090000	untested	untested
	chr2	195095000	195100000	chr2-195095000	untested	untested
	chr2	195105000	195110000	chr2-195105000	untested	untested
	chr2	195120000	195125000	chr2-195120000	untested	untested
	chr2	195135000	195140000	chr2-195135000	untested	untested
	chr2	195145000	195150000	chr2-195145000	untested	untested
	chr2	195160000	195165000	chr2-195160000	untested	untested
	chr2	195165000	195170000	chr2-195165000	untested	untested
	chr2	195170000	195175000	chr2-195170000	untested	untested
	chr2	195230000	195235000	chr2-195230000	untested	untested
	chr2	195250000	195255000	chr2-195250000	untested	untested
	chr2	195270000	195275000	chr2-195270000	untested	untested
	chr2	195275000	195280000	chr2-195275000	untested	untested
	chr2	195280000	195285000	chr2-195280000	untested	untested
	chr2	195285000	195290000	chr2-195285000	untested	untested
	chr2	195295000	195300000	chr2-195295000	untested	untested
	chr2	195305000	195310000	chr2-195305000	untested	untested
	chr2	195310000	195315000	chr2-195310000	untested	untested
	chr2	195315000	195320000	chr2-195315000	untested	untested
	chr2	195320000	195325000	chr2-195320000	untested	untested
	chr2	195330000	195335000	chr2-195330000	untested	untested
	chr2	195355000	195360000	chr2-195355000	untested	untested
	chr2	195360000	195365000	chr2-195360000	untested	untested
	chr2	195380000	195385000	chr2-195380000	untested	untested
	chr2	195440000	195445000	chr2-195440000	untested	untested
	chr2	195460000	195465000	chr2-195460000	untested	untested
	chr2	195485000	195490000	chr2-195485000	untested	untested
	chr2	195505000	195510000	chr2-195505000	untested	untested
	chr2	195525000	195530000	chr2-195525000	untested	untested
	chr2	195550000	195555000	chr2-195550000	untested	untested
	chr2	195575000	195580000	chr2-195575000	untested	untested
	chr2	195585000	195590000	chr2-195585000	untested	untested
	chr2	195595000	195600000	chr2-195595000	untested	untested
	chr2	195600000	195605000	chr2-195600000	untested	untested
	chr2	195620000	195625000	chr2-195620000	untested	untested
	chr2	195630000	195635000	chr2-195630000	untested	untested
	chr2	195650000	195655000	chr2-195650000	untested	untested
	chr2	195705000	195710000	chr2-195705000	untested	untested
	chr2	195710000	195715000	chr2-195710000	untested	untested
	chr2	195750000	195755000	chr2-195750000	untested	untested
	chr2	195785000	195790000	chr2-195785000	untested	untested
	chr2	195830000	195835000	chr2-195830000	untested	untested
	chr2	195930000	195935000	chr2-195930000	untested	untested
	chr2	196000000	196005000	chr2-196000000	untested	untested
	chr2	196045000	196050000	chr2-196045000	untested	untested
	chr2	196055000	196060000	chr2-196055000	untested	untested
	chr2	196085000	196090000	chr2-196085000	untested	untested
	chr2	196090000	196095000	chr2-196090000	untested	untested
	chr2	196240000	196245000	chr2-196240000	untested	untested
	chr2	196670000	196675000	chr2-196670000	untested	untested
	chr2	197385000	197390000	chr2-197385000	untested	untested
	chr2	193655000	193660000	chr2-193655000	untested	untested
	chr2	193665000	193670000	chr2-193665000	untested	untested
	chr2	193700000	193705000	chr2-193700000	untested	untested
	chr2	193710000	193715000	chr2-193710000	untested	untested
	chr2	193745000	193750000	chr2-193745000	untested	untested
	chr2	193835000	193840000	chr2-193835000	untested	untested
	chr2	193855000	193860000	chr2-193855000	untested	untested
	chr2	193880000	193885000	chr2-193880000	untested	untested
	chr2	193885000	193890000	chr2-193885000	untested	untested
	chr2	193910000	193915000	chr2-193910000	untested	untested
	chr2	193950000	193955000	chr2-193950000	untested	untested
	chr2	193960000	193965000	chr2-193960000	untested	untested
	chr2	194015000	194020000	chr2-194015000	untested	untested
	chr2	194030000	194035000	chr2-194030000	untested	untested
	chr2	194055000	194060000	chr2-194055000	untested	untested
	chr2	194100000	194105000	chr2-194100000	untested	untested
	chr2	194125000	194130000	chr2-194125000	untested	untested
	chr2	194170000	194175000	chr2-194170000	untested	untested
	chr2	194175000	194180000	chr2-194175000	untested	untested
	chr2	194185000	194190000	chr2-194185000	untested	untested
	chr2	194260000	194265000	chr2-194260000	untested	untested
	chr2	194300000	194305000	chr2-194300000	untested	untested
	chr2	194310000	194315000	chr2-194310000	untested	untested
	chr2	194410000	194415000	chr2-194410000	untested	untested
	chr2	194415000	194420000	chr2-194415000	untested	untested
	chr2	194425000	194430000	chr2-194425000	untested	untested
	chr2	194535000	194540000	chr2-194535000	untested	untested
	chr2	194585000	194590000	chr2-194585000	untested	untested
	chr2	194600000	194605000	chr2-194600000	untested	untested
	chr2	194655000	194660000	chr2-194655000	untested	untested
	chr2	194675000	194680000	chr2-194675000	untested	untested
	chr2	194715000	194720000	chr2-194715000	untested	untested
	chr2	194750000	194755000	chr2-194750000	untested	untested
	chr2	194765000	194770000	chr2-194765000	untested	untested
	chr2	194860000	194865000	chr2-194860000	untested	untested
	chr2	194865000	194870000	chr2-194865000	untested	untested
	chr2	194885000	194890000	chr2-194885000	untested	untested
	chr2	194890000	194895000	chr2-194890000	untested	untested
	chr2	194900000	194905000	chr2-194900000	untested	untested
	chr2	194920000	194925000	chr2-194920000	untested	untested
	chr2	194970000	194975000	chr2-194970000	untested	untested
	chr2	194985000	194990000	chr2-194985000	untested	untested
	chr2	195035000	195040000	chr2-195035000	untested	untested
	chr2	195100000	195105000	chr2-195100000	untested	untested
	chr2	195155000	195160000	chr2-195155000	untested	untested
	chr2	195185000	195190000	chr2-195185000	untested	untested
	chr2	195190000	195195000	chr2-195190000	untested	untested
	chr2	195195000	195200000	chr2-195195000	untested	untested
	chr2	195210000	195215000	chr2-195210000	untested	untested
	chr2	195220000	195225000	chr2-195220000	untested	untested
	chr2	195245000	195250000	chr2-195245000	untested	untested
	chr2	195255000	195260000	chr2-195255000	untested	untested
	chr2	195260000	195265000	chr2-195260000	untested	untested
	chr2	195390000	195395000	chr2-195390000	untested	untested
	chr2	195395000	195400000	chr2-195395000	untested	untested
	chr2	195400000	195405000	chr2-195400000	untested	untested
	chr2	195405000	195410000	chr2-195405000	untested	untested
	chr2	195415000	195420000	chr2-195415000	untested	untested
	chr2	195450000	195455000	chr2-195450000	untested	untested
	chr2	195495000	195500000	chr2-195495000	untested	untested
	chr2	195545000	195550000	chr2-195545000	untested	untested
	chr2	195565000	195570000	chr2-195565000	untested	untested
	chr2	195615000	195620000	chr2-195615000	untested	untested
	chr2	195625000	195630000	chr2-195625000	untested	untested
	chr2	195655000	195660000	chr2-195655000	untested	untested
	chr2	195660000	195665000	chr2-195660000	untested	untested
	chr2	195675000	195680000	chr2-195675000	untested	untested
	chr2	195685000	195690000	chr2-195685000	untested	untested
	chr2	195690000	195695000	chr2-195690000	untested	untested
	chr2	195860000	195865000	chr2-195860000	untested	untested
	chr2	195935000	195940000	chr2-195935000	untested	untested
	chr2	196020000	196025000	chr2-196020000	untested	untested
	chr2	196130000	196135000	chr2-196130000	untested	untested
	chr2	193680000	193685000	chr2-193680000	untested	untested
	chr2	193740000	193745000	chr2-193740000	untested	untested
	chr2	193775000	193780000	chr2-193775000	untested	untested
	chr2	193780000	193785000	chr2-193780000	untested	untested
	chr2	193805000	193810000	chr2-193805000	untested	untested
	chr2	193820000	193825000	chr2-193820000	untested	untested
	chr2	193860000	193865000	chr2-193860000	untested	untested
	chr2	193925000	193930000	chr2-193925000	untested	untested
	chr2	193935000	193940000	chr2-193935000	untested	untested
	chr2	194005000	194010000	chr2-194005000	untested	untested
	chr2	194115000	194120000	chr2-194115000	untested	untested
	chr2	194120000	194125000	chr2-194120000	untested	untested
	chr2	194255000	194260000	chr2-194255000	untested	untested
	chr2	194305000	194310000	chr2-194305000	untested	untested
	chr2	194460000	194465000	chr2-194460000	untested	untested
	chr2	194465000	194470000	chr2-194465000	untested	untested
	chr2	194480000	194485000	chr2-194480000	untested	untested
	chr2	194515000	194520000	chr2-194515000	untested	untested
	chr2	194580000	194585000	chr2-194580000	untested	untested
	chr2	194620000	194625000	chr2-194620000	untested	untested
	chr2	194785000	194790000	chr2-194785000	untested	untested
	chr2	194825000	194830000	chr2-194825000	untested	untested
	chr2	194845000	194850000	chr2-194845000	untested	untested
	chr2	194905000	194910000	chr2-194905000	untested	untested
	chr2	194960000	194965000	chr2-194960000	untested	untested
	chr2	194995000	195000000	chr2-194995000	untested	untested
	chr2	195000000	195005000	chr2-195000000	untested	untested
	chr2	195045000	195050000	chr2-195045000	untested	untested
	chr2	195080000	195085000	chr2-195080000	untested	untested
	chr2	195205000	195210000	chr2-195205000	untested	untested
	chr2	195225000	195230000	chr2-195225000	untested	untested
	chr2	195235000	195240000	chr2-195235000	untested	untested
	chr2	195340000	195345000	chr2-195340000	untested	untested
	chr2	195345000	195350000	chr2-195345000	untested	untested
	chr2	195375000	195380000	chr2-195375000	untested	untested
	chr2	195385000	195390000	chr2-195385000	untested	untested
	chr2	195475000	195480000	chr2-195475000	untested	untested
	chr2	195480000	195485000	chr2-195480000	untested	untested
	chr2	195490000	195495000	chr2-195490000	untested	untested
	chr2	195520000	195525000	chr2-195520000	untested	untested
	chr2	195530000	195535000	chr2-195530000	untested	untested
	chr2	195540000	195545000	chr2-195540000	untested	untested
	chr2	195560000	195565000	chr2-195560000	untested	untested
	chr2	195610000	195615000	chr2-195610000	untested	untested
	chr2	195680000	195685000	chr2-195680000	untested	untested
	chr2	195700000	195705000	chr2-195700000	untested	untested
	chr2	195730000	195735000	chr2-195730000	untested	untested
	chr2	195780000	195785000	chr2-195780000	untested	untested
	chr2	195805000	195810000	chr2-195805000	untested	untested
	chr2	195810000	195815000	chr2-195810000	untested	untested
	chr2	195940000	195945000	chr2-195940000	untested	untested
	chr2	195995000	196000000	chr2-195995000	untested	untested
	chr2	196040000	196045000	chr2-196040000	untested	untested
	chr2	196125000	196130000	chr2-196125000	untested	untested
	chr2	196795000	196800000	chr2-196795000	untested	untested
	chr2	196815000	196820000	chr2-196815000	untested	untested
	chr2	197930000	197935000	chr2-197930000	untested	untested
	chr2	193730000	193735000	chr2-193730000	untested	untested
	chr2	193790000	193795000	chr2-193790000	untested	untested
	chr2	193895000	193900000	chr2-193895000	untested	untested
	chr2	193930000	193935000	chr2-193930000	untested	untested
	chr2	194035000	194040000	chr2-194035000	untested	untested
	chr2	194160000	194165000	chr2-194160000	untested	untested
	chr2	194225000	194230000	chr2-194225000	untested	untested
	chr2	194355000	194360000	chr2-194355000	untested	untested
	chr2	194495000	194500000	chr2-194495000	untested	untested
	chr2	194615000	194620000	chr2-194615000	untested	untested
	chr2	194660000	194665000	chr2-194660000	untested	untested
	chr2	194835000	194840000	chr2-194835000	untested	untested
	chr2	194855000	194860000	chr2-194855000	untested	untested
	chr2	194880000	194885000	chr2-194880000	untested	untested
	chr2	194925000	194930000	chr2-194925000	untested	untested
	chr2	194980000	194985000	chr2-194980000	untested	untested
	chr2	195055000	195060000	chr2-195055000	untested	untested
	chr2	195060000	195065000	chr2-195060000	untested	untested
	chr2	195125000	195130000	chr2-195125000	untested	untested
	chr2	195130000	195135000	chr2-195130000	untested	untested
	chr2	195150000	195155000	chr2-195150000	untested	untested
	chr2	195240000	195245000	chr2-195240000	untested	untested
	chr2	195265000	195270000	chr2-195265000	untested	untested
	chr2	195300000	195305000	chr2-195300000	untested	untested
	chr2	195420000	195425000	chr2-195420000	untested	untested
	chr2	195435000	195440000	chr2-195435000	untested	untested
	chr2	195455000	195460000	chr2-195455000	untested	untested
	chr2	195500000	195505000	chr2-195500000	untested	untested
	chr2	195515000	195520000	chr2-195515000	untested	untested
	chr2	195570000	195575000	chr2-195570000	untested	untested
	chr2	195640000	195645000	chr2-195640000	untested	untested
	chr2	195695000	195700000	chr2-195695000	untested	untested
	chr2	195715000	195720000	chr2-195715000	untested	untested
	chr2	195835000	195840000	chr2-195835000	untested	untested
	chr2	195895000	195900000	chr2-195895000	untested	untested
	chr2	194110000	194115000	chr2-194110000	untested	untested
	chr2	194130000	194135000	chr2-194130000	untested	untested
	chr2	194230000	194235000	chr2-194230000	untested	untested
	chr2	194565000	194570000	chr2-194565000	untested	untested
	chr2	194570000	194575000	chr2-194570000	untested	untested
	chr2	194840000	194845000	chr2-194840000	untested	untested
	chr2	194915000	194920000	chr2-194915000	untested	untested
	chr2	194965000	194970000	chr2-194965000	untested	untested
	chr2	195015000	195020000	chr2-195015000	untested	untested
	chr2	195075000	195080000	chr2-195075000	untested	untested
	chr2	195110000	195115000	chr2-195110000	untested	untested
	chr2	195140000	195145000	chr2-195140000	untested	untested
	chr2	195200000	195205000	chr2-195200000	untested	untested
	chr2	195215000	195220000	chr2-195215000	untested	untested
	chr2	195290000	195295000	chr2-195290000	untested	untested
	chr2	195325000	195330000	chr2-195325000	untested	untested
	chr2	195350000	195355000	chr2-195350000	untested	untested
	chr2	195535000	195540000	chr2-195535000	untested	untested
	chr2	195580000	195585000	chr2-195580000	untested	untested
	chr2	195605000	195610000	chr2-195605000	untested	untested
	chr2	195665000	195670000	chr2-195665000	untested	untested
	chr2	195670000	195675000	chr2-195670000	untested	untested
	chr2	195815000	195820000	chr2-195815000	untested	untested
	chr2	195820000	195825000	chr2-195820000	untested	untested
	chr2	195910000	195915000	chr2-195910000	untested	untested
	chr2	195950000	195955000	chr2-195950000	untested	untested
